Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2000-01-03,13.939937591552734,13.939937591552734,13.611939372790562,13.611939372790562,332590
2000-01-04,14.251534461975098,15.042830986399727,14.021936507708894,14.92393271609134,1687100
2000-01-05,13.689837455749512,14.259734612254924,13.529938433595476,13.939936567946853,1598200
2000-01-06,13.800536155700684,13.939935574001444,13.55453791823753,13.775935706346909,850260
2000-01-07,13.804633140563965,14.021933163478268,13.296236451068166,13.296236451068166,851440
2000-01-10,13.603738784790039,14.718934256773906,13.529938992437058,14.177736822197929,1004340
2000-01-11,13.398740768432617,13.767739759370063,12.873942811773398,13.652939204401218,1457840
2000-01-12,13.566838264465332,13.771837330677247,13.308539003113067,13.42743883688048,859520
2000-01-13,13.538138389587402,13.93173621754904,13.52993823933586,13.93173621754904,482760
2000-01-14,13.566838264465332,13.775936623833234,13.44793843069792,13.775936623833234,581520
2000-01-17,14.653332710266113,14.653332710266113,14.108034489212882,14.267933497185297,1374040
2000-01-18,13.587333679199219,14.653329434041973,13.493034325427828,14.653329434041973,2556520
2000-01-19,14.67793083190918,14.67793083190918,14.103934462985166,14.103934462985166,3498180
2000-01-20,14.645133972167969,15.153530786823772,14.431934752983068,15.153530786823772,2690980
2000-01-21,15.42822551727295,15.743924171899014,14.112130719671232,14.431930230237716,4723290
2000-01-24,16.445022583007812,16.66232105625327,15.825924631054866,16.301522322321283,4493660
2000-01-25,17.761119842529297,17.761119842529297,16.317926157937276,16.317926157937276,2902910
2000-01-26,17.761119842529297,17.761119842529297,17.761119842529297,17.761119842529297,0
2000-01-27,18.835311889648438,19.18381120822484,18.142415673307788,18.36791431237569,5635820
2000-01-28,18.687713623046875,19.105910296946682,18.36791405051011,18.85991206947402,4791650
2000-01-31,19.495410919189453,20.184207908028064,18.868114275933088,18.868114275933088,6373800
2000-02-01,19.757810592651367,20.007909718282967,19.269913349612224,19.35191329369094,3907790
2000-02-02,20.007909774780273,21.340403786760767,19.597911617247814,21.336304493353737,3438320
2000-02-03,18.527812957763672,20.49990431601058,18.40891470138493,20.007906299622608,2846870
2000-02-04,18.773815155029297,19.02391426999376,17.834919041612107,18.85581509561058,2657040
2000-02-07,20.229307174682617,20.278506510844423,18.85991340003255,19.26991151742456,3890350
2000-02-08,20.561405181884766,20.8115027071785,19.688108797700913,20.499904841752063,3052080
2000-02-09,20.704906463623047,21.401903627677484,20.180109334932087,20.909905537520306,3172330
2000-02-10,20.643402099609375,21.483899390281866,20.356404703204486,20.49990340140693,2100860
2000-02-11,19.032114028930664,21.23790458996171,18.995215695615638,20.918106522413826,2648230
2000-02-14,19.142812728881836,19.26991271622712,18.05221773133271,19.26991271622712,2525440
2000-02-15,18.663110733032227,19.269907636894793,18.45811171561845,19.187907717125604,1940870
2000-02-16,20.15961265563965,20.15961265563965,18.859918989078036,20.081713553296876,706000
2000-02-17,20.532703399658203,21.131300186183484,20.34820396161453,21.131300186183484,2341600
2000-02-18,19.893112182617188,20.745907596645228,19.597912988059537,20.581909260572395,1187770
2000-02-21,19.36421012878418,20.335905190541904,19.278110902910925,19.946408245681372,1104720
2000-02-22,17.83901596069336,19.67990804746848,17.81851636928096,19.356009185489437,1748060
2000-02-23,17.99481773376465,19.261712022130446,17.834918712789534,18.531915848851728,1345080
2000-02-24,18.613914489746094,18.859912725779235,17.67091760224222,18.203916387011763,878920
2000-02-25,18.613914489746094,19.187910895162975,18.203916387011763,18.855813432920097,1265320
2000-02-28,18.65900993347168,18.859909659315083,18.03991358717095,18.847610218718806,857210
2000-02-29,17.77752113342285,19.59791246893043,17.178924172776263,18.695916170356455,2586880
2000-03-01,19.200210571289062,19.200210571289062,17.875915414888492,17.875915414888492,320940
2000-03-02,20.737699508666992,20.737699508666992,20.499899918879237,20.499899918879237,399360
2000-03-03,22.398193359375,22.398193359375,22.398193359375,22.398193359375,642940
2000-03-06,21.815998077392578,24.189887402981874,20.909902670374162,24.1857881102343,2036410
2000-03-07,21.172300338745117,21.96769760506626,20.909901821037803,21.729897970882423,1624120
2000-03-08,22.308000564575195,22.869697624521176,21.48390492374989,21.729903202319527,2004770
2000-03-09,22.10709571838379,22.959892475339593,20.58190392462599,22.1521957574176,1339790
2000-03-10,20.8402099609375,21.565905423122633,20.34001163954929,21.422406673881294,1468330
2000-03-13,22.135801315307617,22.508899577819964,20.499907971049563,20.499907971049563,2079820
2000-03-14,21.7627010345459,22.959894798299686,20.991904128392026,22.590895863433815,1782020
2000-03-15,21.307607650756836,22.139903523467765,20.253912367446656,22.139903523467765,827860
2000-03-16,21.069805145263672,21.48390416179261,20.914005406885142,21.48390416179261,1324640
2000-03-17,21.069805145263672,21.069805145263672,21.069805145263672,21.069805145263672,0
2000-03-20,21.069805145263672,21.069805145263672,21.069805145263672,21.069805145263672,0
2000-03-21,20.975500106811523,21.319898530245457,20.22930378337441,21.319898530245457,1601110
2000-03-22,21.414201736450195,21.729900478250418,20.832005153610957,21.299402762711463,761300
2000-03-23,22.992691040039062,23.127989581162332,21.17639958143606,21.17639958143606,2538440
2000-03-24,22.418697357177734,22.775395284137076,21.688901203072277,22.55809678072786,1171540
2000-03-27,22.279298782348633,22.795895745761765,21.832400751356364,22.54989748966385,611310
2000-03-28,22.558090209960938,22.83688897585211,21.979993090925646,22.016892973588252,983640
2000-03-29,21.7627010345459,23.611791873883586,21.570001417002754,22.63189661398486,984800
2000-03-30,21.52899932861328,21.811899015770287,20.581904728009015,21.032902007914036,953680
2000-03-31,21.090299606323242,21.319899082566767,20.663902813325947,20.745901173967194,743600
2000-04-03,20.266204833984375,22.385894116531247,19.692206907296484,21.31580046186392,1685880
